,Dis No,Country,Year,Month,Rel_Hum
0,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2013,1,71.0
1,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2013,2,68.0
2,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2013,3,80.0
3,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2013,4,79.0
4,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2013,5,82.0
5,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2013,6,92.0
6,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2013,7,95.0
7,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2013,8,92.0
8,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2013,9,87.0
9,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2013,10,80.0
10,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2013,11,78.0
11,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2013,12,80.0
144,2019-0366-FRA,France,2013,1,74.0
145,2019-0366-FRA,France,2013,2,78.0
146,2019-0366-FRA,France,2013,3,78.0
147,2019-0366-FRA,France,2013,4,79.0
148,2019-0366-FRA,France,2013,5,82.0
149,2019-0366-FRA,France,2013,6,76.0
150,2019-0366-FRA,France,2013,7,75.0
151,2019-0366-FRA,France,2013,8,70.0
152,2019-0366-FRA,France,2013,9,75.0
153,2019-0366-FRA,France,2013,10,82.0
154,2019-0366-FRA,France,2013,11,82.0
155,2019-0366-FRA,France,2013,12,64.0
288,2019-0467-JPN,Japan,2013,1,56.0
289,2019-0467-JPN,Japan,2013,2,52.0
290,2019-0467-JPN,Japan,2013,3,55.0
291,2019-0467-JPN,Japan,2013,4,63.0
292,2019-0467-JPN,Japan,2013,5,68.0
293,2019-0467-JPN,Japan,2013,6,83.0
294,2019-0467-JPN,Japan,2013,7,83.0
295,2019-0467-JPN,Japan,2013,8,80.0
296,2019-0467-JPN,Japan,2013,9,80.0
297,2019-0467-JPN,Japan,2013,10,81.0
298,2019-0467-JPN,Japan,2013,11,67.0
299,2019-0467-JPN,Japan,2013,12,57.0
432,2019-0366-AUT,Austria,2013,1,82.0
433,2019-0366-AUT,Austria,2013,2,83.0
434,2019-0366-AUT,Austria,2013,3,81.0
435,2019-0366-AUT,Austria,2013,4,81.0
436,2019-0366-AUT,Austria,2013,5,85.0
437,2019-0366-AUT,Austria,2013,6,79.0
438,2019-0366-AUT,Austria,2013,7,75.0
439,2019-0366-AUT,Austria,2013,8,76.0
440,2019-0366-AUT,Austria,2013,9,83.0
441,2019-0366-AUT,Austria,2013,10,89.0
442,2019-0366-AUT,Austria,2013,11,89.0
443,2019-0366-AUT,Austria,2013,12,73.0
576,2000-0379-GRC,Greece,2013,1,72.84615384615384
577,2000-0379-GRC,Greece,2013,2,76.0
578,2000-0379-GRC,Greece,2013,3,73.92307692307692
579,2000-0379-GRC,Greece,2013,4,71.84615384615384
580,2000-0379-GRC,Greece,2013,5,70.84615384615384
581,2000-0379-GRC,Greece,2013,6,70.15384615384616
582,2000-0379-GRC,Greece,2013,7,66.61538461538461
583,2000-0379-GRC,Greece,2013,8,63.61538461538461
584,2000-0379-GRC,Greece,2013,9,66.38461538461539
585,2000-0379-GRC,Greece,2013,10,71.46153846153847
586,2000-0379-GRC,Greece,2013,11,75.76923076923077
587,2000-0379-GRC,Greece,2013,12,70.38461538461539
720,2010-0331-JPN,Japan,2013,1,65.90697674418605
721,2010-0331-JPN,Japan,2013,2,67.06976744186046
722,2010-0331-JPN,Japan,2013,3,66.74418604651163
723,2010-0331-JPN,Japan,2013,4,66.44186046511628
724,2010-0331-JPN,Japan,2013,5,72.46511627906976
725,2010-0331-JPN,Japan,2013,6,80.37209302325581
726,2010-0331-JPN,Japan,2013,7,81.11627906976744
727,2010-0331-JPN,Japan,2013,8,78.79069767441861
728,2010-0331-JPN,Japan,2013,9,75.27906976744185
729,2010-0331-JPN,Japan,2013,10,74.81395348837209
730,2010-0331-JPN,Japan,2013,11,68.51162790697674
731,2010-0331-JPN,Japan,2013,12,67.25581395348837
864,2014-0578-JPN,Japan,2013,1,64.72093023255815
865,2014-0578-JPN,Japan,2013,2,66.23255813953489
866,2014-0578-JPN,Japan,2013,3,66.55813953488372
867,2014-0578-JPN,Japan,2013,4,66.79069767441861
868,2014-0578-JPN,Japan,2013,5,72.37209302325581
869,2014-0578-JPN,Japan,2013,6,82.0
870,2014-0578-JPN,Japan,2013,7,81.5813953488372
871,2014-0578-JPN,Japan,2013,8,79.32558139534883
872,2014-0578-JPN,Japan,2013,9,76.02325581395348
873,2014-0578-JPN,Japan,2013,10,75.81395348837209
874,2014-0578-JPN,Japan,2013,11,68.37209302325581
875,2014-0578-JPN,Japan,2013,12,66.34883720930233
1008,2011-0573-JPN,Japan,2013,1,67.13953488372093
1009,2011-0573-JPN,Japan,2013,2,68.02325581395348
1010,2011-0573-JPN,Japan,2013,3,67.62790697674419
1011,2011-0573-JPN,Japan,2013,4,67.83720930232558
1012,2011-0573-JPN,Japan,2013,5,72.76744186046511
1013,2011-0573-JPN,Japan,2013,6,80.93023255813954
1014,2011-0573-JPN,Japan,2013,7,80.83720930232558
1015,2011-0573-JPN,Japan,2013,8,78.65116279069767
1016,2011-0573-JPN,Japan,2013,9,76.25581395348837
1017,2011-0573-JPN,Japan,2013,10,76.3953488372093
1018,2011-0573-JPN,Japan,2013,11,70.23255813953489
1019,2011-0573-JPN,Japan,2013,12,68.46511627906976
1296,2011-0264-USA,United States of America (the),2013,1,66.36363636363636
1297,2011-0264-USA,United States of America (the),2013,2,66.72727272727273
1298,2011-0264-USA,United States of America (the),2013,3,61.72727272727273
1299,2011-0264-USA,United States of America (the),2013,4,60.27272727272727
1300,2011-0264-USA,United States of America (the),2013,5,59.45454545454545
1301,2011-0264-USA,United States of America (the),2013,6,61.36363636363637
1302,2011-0264-USA,United States of America (the),2013,7,62.18181818181818
1303,2011-0264-USA,United States of America (the),2013,8,62.72727272727273
1304,2011-0264-USA,United States of America (the),2013,9,62.54545454545455
1305,2011-0264-USA,United States of America (the),2013,10,64.27272727272727
1306,2011-0264-USA,United States of America (the),2013,11,65.9090909090909
1307,2011-0264-USA,United States of America (the),2013,12,69.0
1440,2003-0391-ITA,Italy,2013,1,76.33333333333333
1441,2003-0391-ITA,Italy,2013,2,71.66666666666667
1442,2003-0391-ITA,Italy,2013,3,77.5
1443,2003-0391-ITA,Italy,2013,4,78.5
1444,2003-0391-ITA,Italy,2013,5,74.66666666666667
1445,2003-0391-ITA,Italy,2013,6,71.0
1446,2003-0391-ITA,Italy,2013,7,69.16666666666667
1447,2003-0391-ITA,Italy,2013,8,66.83333333333333
1448,2003-0391-ITA,Italy,2013,9,70.83333333333333
1449,2003-0391-ITA,Italy,2013,10,82.66666666666667
1450,2003-0391-ITA,Italy,2013,11,75.5
1451,2003-0391-ITA,Italy,2013,12,75.83333333333333
1584,2006-0383-NLD,Netherlands (the),2013,1,86.41666666666667
1585,2006-0383-NLD,Netherlands (the),2013,2,82.66666666666667
1586,2006-0383-NLD,Netherlands (the),2013,3,72.83333333333333
1587,2006-0383-NLD,Netherlands (the),2013,4,72.66666666666667
1588,2006-0383-NLD,Netherlands (the),2013,5,78.75
1589,2006-0383-NLD,Netherlands (the),2013,6,76.66666666666667
1590,2006-0383-NLD,Netherlands (the),2013,7,77.16666666666667
1591,2006-0383-NLD,Netherlands (the),2013,8,75.75
1592,2006-0383-NLD,Netherlands (the),2013,9,80.25
1593,2006-0383-NLD,Netherlands (the),2013,10,84.0
1594,2006-0383-NLD,Netherlands (the),2013,11,86.0
1595,2006-0383-NLD,Netherlands (the),2013,12,84.75
1728,2007-0235-ALB,Albania,2013,1,71.55555555555556
1729,2007-0235-ALB,Albania,2013,2,75.16666666666667
1730,2007-0235-ALB,Albania,2013,3,72.94444444444444
1731,2007-0235-ALB,Albania,2013,4,73.80555555555556
1732,2007-0235-ALB,Albania,2013,5,72.5
1733,2007-0235-ALB,Albania,2013,6,72.38888888888889
1734,2007-0235-ALB,Albania,2013,7,71.30555555555556
1735,2007-0235-ALB,Albania,2013,8,70.77777777777777
1736,2007-0235-ALB,Albania,2013,9,69.58333333333333
1737,2007-0235-ALB,Albania,2013,10,75.22222222222223
1738,2007-0235-ALB,Albania,2013,11,74.86111111111111
1739,2007-0235-ALB,Albania,2013,12,67.11111111111111
1872,2004-0361-ESP,Spain,2013,1,71.16666666666667
1873,2004-0361-ESP,Spain,2013,2,74.0
1874,2004-0361-ESP,Spain,2013,3,73.83333333333333
1875,2004-0361-ESP,Spain,2013,4,74.0
1876,2004-0361-ESP,Spain,2013,5,80.66666666666667
1877,2004-0361-ESP,Spain,2013,6,86.0
1878,2004-0361-ESP,Spain,2013,7,88.0
1879,2004-0361-ESP,Spain,2013,8,86.0
1880,2004-0361-ESP,Spain,2013,9,78.83333333333333
1881,2004-0361-ESP,Spain,2013,10,69.83333333333333
1882,2004-0361-ESP,Spain,2013,11,73.0
1883,2004-0361-ESP,Spain,2013,12,74.16666666666667
2016,2007-0235-CYP,Cyprus,2013,1,79.0
2017,2007-0235-CYP,Cyprus,2013,2,78.33333333333333
2018,2007-0235-CYP,Cyprus,2013,3,68.5
2019,2007-0235-CYP,Cyprus,2013,4,68.83333333333333
2020,2007-0235-CYP,Cyprus,2013,5,66.16666666666667
2021,2007-0235-CYP,Cyprus,2013,6,60.0
2022,2007-0235-CYP,Cyprus,2013,7,59.0
2023,2007-0235-CYP,Cyprus,2013,8,58.666666666666664
2024,2007-0235-CYP,Cyprus,2013,9,65.66666666666667
2025,2007-0235-CYP,Cyprus,2013,10,56.5
2026,2007-0235-CYP,Cyprus,2013,11,72.66666666666667
2027,2007-0235-CYP,Cyprus,2013,12,74.0
2160,2006-0383-FRA,France,2013,1,82.04545454545455
2161,2006-0383-FRA,France,2013,2,79.0
2162,2006-0383-FRA,France,2013,3,76.68181818181819
2163,2006-0383-FRA,France,2013,4,73.86363636363636
2164,2006-0383-FRA,France,2013,5,79.22727272727273
2165,2006-0383-FRA,France,2013,6,77.13636363636364
2166,2006-0383-FRA,France,2013,7,73.86363636363636
2167,2006-0383-FRA,France,2013,8,72.9090909090909
2168,2006-0383-FRA,France,2013,9,77.36363636363636
2169,2006-0383-FRA,France,2013,10,80.27272727272727
2170,2006-0383-FRA,France,2013,11,82.0
2171,2006-0383-FRA,France,2013,12,80.27272727272727
2304,2007-0358-JPN,Japan,2013,1,64.65116279069767
2305,2007-0358-JPN,Japan,2013,2,65.79069767441861
2306,2007-0358-JPN,Japan,2013,3,66.04651162790698
2307,2007-0358-JPN,Japan,2013,4,66.46511627906976
2308,2007-0358-JPN,Japan,2013,5,72.4186046511628
2309,2007-0358-JPN,Japan,2013,6,81.23255813953489
2310,2007-0358-JPN,Japan,2013,7,81.6046511627907
2311,2007-0358-JPN,Japan,2013,8,79.18604651162791
2312,2007-0358-JPN,Japan,2013,9,75.51162790697674
2313,2007-0358-JPN,Japan,2013,10,75.13953488372093
