,Dis No,Country,Year,Month,Rel_Hum
0,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2005,1,84.0
1,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2005,2,80.0
2,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2005,3,78.0
3,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2005,4,78.0
4,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2005,5,85.0
5,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2005,6,91.0
6,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2005,7,91.0
7,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2005,8,92.0
8,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2005,9,87.0
9,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2005,10,79.0
10,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2005,11,73.0
11,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2005,12,78.0
144,2019-0366-FRA,France,2005,1,65.0
145,2019-0366-FRA,France,2005,2,73.0
146,2019-0366-FRA,France,2005,3,73.0
147,2019-0366-FRA,France,2005,4,77.0
148,2019-0366-FRA,France,2005,5,74.0
149,2019-0366-FRA,France,2005,6,75.0
150,2019-0366-FRA,France,2005,7,73.0
151,2019-0366-FRA,France,2005,8,78.0
152,2019-0366-FRA,France,2005,9,81.0
153,2019-0366-FRA,France,2005,10,79.0
154,2019-0366-FRA,France,2005,11,77.0
155,2019-0366-FRA,France,2005,12,72.0
288,2019-0467-JPN,Japan,2005,1,55.0
289,2019-0467-JPN,Japan,2005,2,53.0
290,2019-0467-JPN,Japan,2005,3,55.0
291,2019-0467-JPN,Japan,2005,4,60.0
292,2019-0467-JPN,Japan,2005,5,68.0
293,2019-0467-JPN,Japan,2005,6,82.0
294,2019-0467-JPN,Japan,2005,7,83.0
295,2019-0467-JPN,Japan,2005,8,82.0
296,2019-0467-JPN,Japan,2005,9,82.0
297,2019-0467-JPN,Japan,2005,10,83.0
298,2019-0467-JPN,Japan,2005,11,69.0
