,Dis No,Country,Year,Month,Rel_Hum
0,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2007,1,72.0
1,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2007,2,78.0
2,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2007,3,72.0
3,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2007,4,77.0
4,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2007,5,81.0
5,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2007,6,89.0
6,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2007,7,90.0
7,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2007,8,92.0
8,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2007,9,88.0
9,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2007,10,78.0
10,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2007,11,73.0
11,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2007,12,71.0
144,2019-0366-FRA,France,2007,1,76.0
145,2019-0366-FRA,France,2007,2,76.0
146,2019-0366-FRA,France,2007,3,77.0
147,2019-0366-FRA,France,2007,4,75.0
148,2019-0366-FRA,France,2007,5,78.0
149,2019-0366-FRA,France,2007,6,79.0
150,2019-0366-FRA,France,2007,7,72.0
151,2019-0366-FRA,France,2007,8,78.0
152,2019-0366-FRA,France,2007,9,78.0
153,2019-0366-FRA,France,2007,10,77.0
154,2019-0366-FRA,France,2007,11,73.0
155,2019-0366-FRA,France,2007,12,73.0
288,2019-0467-JPN,Japan,2007,1,63.0
289,2019-0467-JPN,Japan,2007,2,58.0
290,2019-0467-JPN,Japan,2007,3,56.0
291,2019-0467-JPN,Japan,2007,4,72.0
292,2019-0467-JPN,Japan,2007,5,69.0
293,2019-0467-JPN,Japan,2007,6,80.0
294,2019-0467-JPN,Japan,2007,7,86.0
295,2019-0467-JPN,Japan,2007,8,79.0
