,Dis No,Country,Year,Month,Rel_Hum
0,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2010,1,76.0
1,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2010,2,71.0
2,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2010,3,70.0
3,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2010,4,75.0
4,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2010,5,85.0
5,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2010,6,93.0
6,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2010,7,94.0
7,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2010,8,93.0
8,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2010,9,88.0
9,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2010,10,75.0
10,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2010,11,76.0
11,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2010,12,76.0
144,2019-0366-FRA,France,2010,1,78.0
145,2019-0366-FRA,France,2010,2,79.0
146,2019-0366-FRA,France,2010,3,72.0
147,2019-0366-FRA,France,2010,4,74.0
148,2019-0366-FRA,France,2010,5,82.0
149,2019-0366-FRA,France,2010,6,80.0
150,2019-0366-FRA,France,2010,7,76.0
151,2019-0366-FRA,France,2010,8,75.0
152,2019-0366-FRA,France,2010,9,75.0
153,2019-0366-FRA,France,2010,10,77.0
154,2019-0366-FRA,France,2010,11,82.0
155,2019-0366-FRA,France,2010,12,79.0
288,2019-0467-JPN,Japan,2010,1,51.0
289,2019-0467-JPN,Japan,2010,2,73.0
290,2019-0467-JPN,Japan,2010,3,71.0
291,2019-0467-JPN,Japan,2010,4,73.0
292,2019-0467-JPN,Japan,2010,5,70.0
293,2019-0467-JPN,Japan,2010,6,78.0
294,2019-0467-JPN,Japan,2010,7,81.0
295,2019-0467-JPN,Japan,2010,8,81.0
296,2019-0467-JPN,Japan,2010,9,80.0
297,2019-0467-JPN,Japan,2010,10,82.0
298,2019-0467-JPN,Japan,2010,11,69.0
299,2019-0467-JPN,Japan,2010,12,62.0
432,2019-0366-AUT,Austria,2010,1,84.0
433,2019-0366-AUT,Austria,2010,2,82.0
434,2019-0366-AUT,Austria,2010,3,79.0
