,Dis No,Country,Year,Month,Rel_Hum
0,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2006,1,70.0
1,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2006,2,69.0
2,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2006,3,80.0
3,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2006,4,75.0
4,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2006,5,82.0
5,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2006,6,88.0
6,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2006,7,93.0
7,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2006,8,93.0
8,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2006,9,82.0
9,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2006,10,74.0
10,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2006,11,76.0
11,2020-0530-GBR,United Kingdom of Great Britain and Northern Ireland (the),2006,12,69.0
144,2019-0366-FRA,France,2006,1,70.0
145,2019-0366-FRA,France,2006,2,74.0
146,2019-0366-FRA,France,2006,3,76.0
147,2019-0366-FRA,France,2006,4,77.0
148,2019-0366-FRA,France,2006,5,76.0
149,2019-0366-FRA,France,2006,6,70.0
150,2019-0366-FRA,France,2006,7,73.0
151,2019-0366-FRA,France,2006,8,77.0
152,2019-0366-FRA,France,2006,9,79.0
153,2019-0366-FRA,France,2006,10,74.0
154,2019-0366-FRA,France,2006,11,76.0
155,2019-0366-FRA,France,2006,12,75.0
288,2019-0467-JPN,Japan,2006,1,52.0
289,2019-0467-JPN,Japan,2006,2,60.0
290,2019-0467-JPN,Japan,2006,3,55.0
291,2019-0467-JPN,Japan,2006,4,60.0
292,2019-0467-JPN,Japan,2006,5,74.0
293,2019-0467-JPN,Japan,2006,6,83.0
294,2019-0467-JPN,Japan,2006,7,86.0
295,2019-0467-JPN,Japan,2006,8,82.0
296,2019-0467-JPN,Japan,2006,9,82.0
297,2019-0467-JPN,Japan,2006,10,79.0
298,2019-0467-JPN,Japan,2006,11,74.0
299,2019-0467-JPN,Japan,2006,12,66.0
432,2019-0366-AUT,Austria,2006,1,73.0
433,2019-0366-AUT,Austria,2006,2,77.0
434,2019-0366-AUT,Austria,2006,3,77.0
435,2019-0366-AUT,Austria,2006,4,80.0
436,2019-0366-AUT,Austria,2006,5,82.0
437,2019-0366-AUT,Austria,2006,6,76.0
438,2019-0366-AUT,Austria,2006,7,75.0
439,2019-0366-AUT,Austria,2006,8,86.0
440,2019-0366-AUT,Austria,2006,9,81.0
441,2019-0366-AUT,Austria,2006,10,84.0
442,2019-0366-AUT,Austria,2006,11,81.0
443,2019-0366-AUT,Austria,2006,12,76.0
576,2000-0379-GRC,Greece,2006,1,72.46153846153847
577,2000-0379-GRC,Greece,2006,2,76.15384615384616
578,2000-0379-GRC,Greece,2006,3,75.84615384615384
579,2000-0379-GRC,Greece,2006,4,76.15384615384616
580,2000-0379-GRC,Greece,2006,5,73.23076923076923
581,2000-0379-GRC,Greece,2006,6,69.07692307692308
582,2000-0379-GRC,Greece,2006,7,68.84615384615384
583,2000-0379-GRC,Greece,2006,8,68.46153846153847
584,2000-0379-GRC,Greece,2006,9,69.76923076923077
585,2000-0379-GRC,Greece,2006,10,75.46153846153847
586,2000-0379-GRC,Greece,2006,11,73.0
587,2000-0379-GRC,Greece,2006,12,74.3076923076923
720,2010-0331-JPN,Japan,2006,1,66.97674418604652
721,2010-0331-JPN,Japan,2006,2,69.6046511627907
722,2010-0331-JPN,Japan,2006,3,65.88372093023256
723,2010-0331-JPN,Japan,2006,4,68.86046511627907
724,2010-0331-JPN,Japan,2006,5,76.76744186046511
725,2010-0331-JPN,Japan,2006,6,80.76744186046511
726,2010-0331-JPN,Japan,2006,7,83.4186046511628
727,2010-0331-JPN,Japan,2006,8,78.76744186046511
728,2010-0331-JPN,Japan,2006,9,75.93023255813954
729,2010-0331-JPN,Japan,2006,10,73.46511627906976
730,2010-0331-JPN,Japan,2006,11,70.76744186046511
731,2010-0331-JPN,Japan,2006,12,69.13953488372093
864,2014-0578-JPN,Japan,2006,1,66.0
865,2014-0578-JPN,Japan,2006,2,69.34883720930233
866,2014-0578-JPN,Japan,2006,3,65.72093023255815
867,2014-0578-JPN,Japan,2006,4,69.06976744186046
868,2014-0578-JPN,Japan,2006,5,77.74418604651163
869,2014-0578-JPN,Japan,2006,6,81.67441860465117
870,2014-0578-JPN,Japan,2006,7,84.93023255813954
871,2014-0578-JPN,Japan,2006,8,79.76744186046511
872,2014-0578-JPN,Japan,2006,9,77.18604651162791
873,2014-0578-JPN,Japan,2006,10,73.88372093023256
874,2014-0578-JPN,Japan,2006,11,70.93023255813954
875,2014-0578-JPN,Japan,2006,12,69.11627906976744
1008,2011-0573-JPN,Japan,2006,1,68.02325581395348
1009,2011-0573-JPN,Japan,2006,2,70.69767441860465
1010,2011-0573-JPN,Japan,2006,3,67.06976744186046
1011,2011-0573-JPN,Japan,2006,4,69.90697674418605
1012,2011-0573-JPN,Japan,2006,5,77.30232558139535
1013,2011-0573-JPN,Japan,2006,6,80.62790697674419
1014,2011-0573-JPN,Japan,2006,7,83.3953488372093
1015,2011-0573-JPN,Japan,2006,8,79.20930232558139
1016,2011-0573-JPN,Japan,2006,9,76.95348837209302
1017,2011-0573-JPN,Japan,2006,10,74.4186046511628
1018,2011-0573-JPN,Japan,2006,11,71.90697674418605
1019,2011-0573-JPN,Japan,2006,12,70.46511627906976
1296,2011-0264-USA,United States of America (the),2006,1,68.63636363636364
1297,2011-0264-USA,United States of America (the),2006,2,61.27272727272727
1298,2011-0264-USA,United States of America (the),2006,3,62.72727272727273
1299,2011-0264-USA,United States of America (the),2006,4,57.0
1300,2011-0264-USA,United States of America (the),2006,5,59.81818181818182
1301,2011-0264-USA,United States of America (the),2006,6,57.90909090909091
1302,2011-0264-USA,United States of America (the),2006,7,61.90909090909091
1303,2011-0264-USA,United States of America (the),2006,8,63.18181818181818
1304,2011-0264-USA,United States of America (the),2006,9,63.27272727272727
1305,2011-0264-USA,United States of America (the),2006,10,64.0
1306,2011-0264-USA,United States of America (the),2006,11,67.27272727272727
1307,2011-0264-USA,United States of America (the),2006,12,69.54545454545455
1440,2003-0391-ITA,Italy,2006,1,71.0
1441,2003-0391-ITA,Italy,2006,2,72.83333333333333
1442,2003-0391-ITA,Italy,2006,3,68.33333333333333
1443,2003-0391-ITA,Italy,2006,4,73.33333333333333
1444,2003-0391-ITA,Italy,2006,5,70.66666666666667
1445,2003-0391-ITA,Italy,2006,6,60.333333333333336
1446,2003-0391-ITA,Italy,2006,7,61.666666666666664
1447,2003-0391-ITA,Italy,2006,8,66.0
1448,2003-0391-ITA,Italy,2006,9,72.66666666666667
1449,2003-0391-ITA,Italy,2006,10,77.0
1450,2003-0391-ITA,Italy,2006,11,75.5
1451,2003-0391-ITA,Italy,2006,12,76.0
1584,2006-0383-NLD,Netherlands (the),2006,1,85.16666666666667
1585,2006-0383-NLD,Netherlands (the),2006,2,85.83333333333333
1586,2006-0383-NLD,Netherlands (the),2006,3,78.58333333333333
1587,2006-0383-NLD,Netherlands (the),2006,4,77.41666666666667
1588,2006-0383-NLD,Netherlands (the),2006,5,74.75
1589,2006-0383-NLD,Netherlands (the),2006,6,71.91666666666667
1590,2006-0383-NLD,Netherlands (the),2006,7,68.5
1591,2006-0383-NLD,Netherlands (the),2006,8,82.91666666666667
1592,2006-0383-NLD,Netherlands (the),2006,9,79.25
1593,2006-0383-NLD,Netherlands (the),2006,10,83.83333333333333
1594,2006-0383-NLD,Netherlands (the),2006,11,83.58333333333333
1595,2006-0383-NLD,Netherlands (the),2006,12,86.0
1728,2007-0235-ALB,Albania,2006,1,66.69444444444444
1729,2007-0235-ALB,Albania,2006,2,72.0
1730,2007-0235-ALB,Albania,2006,3,73.61111111111111
1731,2007-0235-ALB,Albania,2006,4,76.52777777777777
1732,2007-0235-ALB,Albania,2006,5,73.19444444444444
1733,2007-0235-ALB,Albania,2006,6,72.33333333333333
1734,2007-0235-ALB,Albania,2006,7,72.02777777777777
1735,2007-0235-ALB,Albania,2006,8,71.83333333333333
1736,2007-0235-ALB,Albania,2006,9,71.30555555555556
1737,2007-0235-ALB,Albania,2006,10,70.27777777777777
1738,2007-0235-ALB,Albania,2006,11,70.83333333333333
1739,2007-0235-ALB,Albania,2006,12,72.5
1872,2004-0361-ESP,Spain,2006,1,74.0
1873,2004-0361-ESP,Spain,2006,2,76.5
1874,2004-0361-ESP,Spain,2006,3,78.16666666666667
1875,2004-0361-ESP,Spain,2006,4,83.83333333333333
1876,2004-0361-ESP,Spain,2006,5,82.33333333333333
1877,2004-0361-ESP,Spain,2006,6,78.66666666666667
1878,2004-0361-ESP,Spain,2006,7,89.66666666666667
1879,2004-0361-ESP,Spain,2006,8,82.5
1880,2004-0361-ESP,Spain,2006,9,72.5
1881,2004-0361-ESP,Spain,2006,10,70.33333333333333
1882,2004-0361-ESP,Spain,2006,11,70.0
1883,2004-0361-ESP,Spain,2006,12,71.16666666666667
2016,2007-0235-CYP,Cyprus,2006,1,76.5
2017,2007-0235-CYP,Cyprus,2006,2,76.66666666666667
2018,2007-0235-CYP,Cyprus,2006,3,75.33333333333333
2019,2007-0235-CYP,Cyprus,2006,4,71.5
2020,2007-0235-CYP,Cyprus,2006,5,65.66666666666667
2021,2007-0235-CYP,Cyprus,2006,6,59.333333333333336
2022,2007-0235-CYP,Cyprus,2006,7,59.833333333333336
2023,2007-0235-CYP,Cyprus,2006,8,61.0
2024,2007-0235-CYP,Cyprus,2006,9,65.5
2025,2007-0235-CYP,Cyprus,2006,10,72.16666666666667
2026,2007-0235-CYP,Cyprus,2006,11,71.0
2027,2007-0235-CYP,Cyprus,2006,12,68.0
2160,2006-0383-FRA,France,2006,1,81.13636363636364
2161,2006-0383-FRA,France,2006,2,78.5909090909091
2162,2006-0383-FRA,France,2006,3,77.5909090909091
2163,2006-0383-FRA,France,2006,4,73.68181818181819
2164,2006-0383-FRA,France,2006,5,76.77272727272727
2165,2006-0383-FRA,France,2006,6,70.5
2166,2006-0383-FRA,France,2006,7,71.68181818181819
2167,2006-0383-FRA,France,2006,8,78.04545454545455
2168,2006-0383-FRA,France,2006,9,76.45454545454545
2169,2006-0383-FRA,France,2006,10,79.36363636363636
2170,2006-0383-FRA,France,2006,11,80.0
2171,2006-0383-FRA,France,2006,12,80.86363636363636
2304,2007-0358-JPN,Japan,2006,1,65.81395348837209
2305,2007-0358-JPN,Japan,2006,2,69.06976744186046
2306,2007-0358-JPN,Japan,2006,3,65.25581395348837
2307,2007-0358-JPN,Japan,2006,4,68.67441860465117
2308,2007-0358-JPN,Japan,2006,5,77.4186046511628
2309,2007-0358-JPN,Japan,2006,6,81.5813953488372
2310,2007-0358-JPN,Japan,2006,7,84.81395348837209
2311,2007-0358-JPN,Japan,2006,8,79.23255813953489
2312,2007-0358-JPN,Japan,2006,9,76.27906976744185
2313,2007-0358-JPN,Japan,2006,10,73.44186046511628
2314,2007-0358-JPN,Japan,2006,11,70.44186046511628
2315,2007-0358-JPN,Japan,2006,12,68.86046511627907
2736,2013-0316-JPN,Japan,2006,1,66.76923076923077
2737,2013-0316-JPN,Japan,2006,2,68.76923076923077
2738,2013-0316-JPN,Japan,2006,3,65.76923076923077
